Fund Holdings as of,"08-May-26"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"MRO","MELROSE INDUSTRIES PLC","Industrials","Equity","1,960,738.02","0.36","1,960,738.02","331,335.00","5.92","United Kingdom","London Stock Exchange","GBP"
"ORNBV","ORION CLASS B","Health Care","Equity","1,947,162.75","0.36","1,947,162.75","28,405.00","68.55","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"LI","KLEPIERRE REIT SA","Real Estate","Equity","1,945,512.68","0.36","1,945,512.68","56,359.00","34.52","France","Nyse Euronext - Euronext Paris","EUR"
"BNR","BRENNTAG","Industrials","Equity","1,937,350.80","0.36","1,937,350.80","31,812.00","60.90","Germany","Xetra","EUR"
"KBX","KNORR BREMSE AG","Industrials","Equity","1,936,503.00","0.35","1,936,503.00","18,801.00","103.00","Germany","Xetra","EUR"
"PSON","PEARSON PLC","Consumer Discretionary","Equity","1,906,716.58","0.35","1,906,716.58","150,894.00","12.64","United Kingdom","London Stock Exchange","GBP"
"TREL B","TRELLEBORG B","Industrials","Equity","1,891,700.40","0.35","1,891,700.40","52,557.00","35.99","Sweden","Nasdaq Omx Nordic","SEK"
"SECU B","SECURITAS B","Industrials","Equity","1,876,413.05","0.34","1,876,413.05","129,206.00","14.52","Sweden","Nasdaq Omx Nordic","SEK"
"ORK","ORKLA","Consumer Staples","Equity","1,857,320.89","0.34","1,857,320.89","181,705.00","10.22","Norway","Oslo Bors Asa","NOK"
"ERF","EUROFINS SCIENTIFIC","Health Care","Equity","1,852,772.82","0.34","1,852,772.82","31,223.00","59.34","France","Nyse Euronext - Euronext Paris","EUR"
"INDU C","INDUSTRIVARDEN SERIES","Financials","Equity","1,807,603.63","0.33","1,807,603.63","40,454.00","44.68","Sweden","Nasdaq Omx Nordic","SEK"
"ABF","ASSOCIATED BRITISH FOODS PLC","Consumer Staples","Equity","1,790,181.95","0.33","1,790,181.95","85,003.00","21.06","United Kingdom","London Stock Exchange","GBP"
"TLX","TALANX AG","Financials","Equity","1,789,607.00","0.33","1,789,607.00","16,915.00","105.80","Germany","Xetra","EUR"
"COLO B","COLOPLAST B","Health Care","Equity","1,778,298.34","0.33","1,778,298.34","33,008.00","53.87","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"BCP","BANCO COMERCIAL PORTUGUES SA","Financials","Equity","1,776,735.94","0.33","1,776,735.94","1,918,307.00","0.93","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"TRYG","TRYG","Financials","Equity","1,759,035.47","0.32","1,759,035.47","88,519.00","19.87","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"UHR","THE SWATCH GROUP AG","Consumer Discretionary","Equity","1,725,607.87","0.32","1,725,607.87","7,500.00","230.08","Switzerland","SIX Swiss Exchange","CHF"
"GBLB","GROUPE BRUXELLES LAMBERT NV","Financials","Equity","1,712,833.05","0.31","1,712,833.05","21,107.00","81.15","Belgium","Nyse Euronext - Euronext Brussels","EUR"
"SDLF","STANDARD LIFE PLC","Financials","Equity","1,693,472.40","0.31","1,693,472.40","192,209.00","8.81","United Kingdom","London Stock Exchange","GBP"
"EXO","EXOR NV","Financials","Equity","1,689,962.05","0.31","1,689,962.05","24,689.00","68.45","Netherlands","Euronext Amsterdam","EUR"
"SPX","SPIRAX GROUP PLC","Industrials","Equity","1,675,673.92","0.31","1,675,673.92","19,448.00","86.16","United Kingdom","London Stock Exchange","GBP"
"ANA","ACCIONA SA","Utilities","Equity","1,641,729.60","0.30","1,641,729.60","6,408.00","256.20","Spain","Bolsa De Madrid","EUR"
"IG","ITALGAS","Utilities","Equity","1,638,513.38","0.30","1,638,513.38","157,929.00","10.38","Italy","Borsa Italiana","EUR"
"IPN","IPSEN SA","Health Care","Equity","1,626,393.60","0.30","1,626,393.60","9,774.00","166.40","France","Nyse Euronext - Euronext Paris","EUR"
"MICC","MAGNUM ICE CREAM NV","Consumer Staples","Equity","1,618,218.00","0.30","1,618,218.00","128,430.00","12.60","Netherlands","Euronext Amsterdam","EUR"
"SBRY","SAINSBURY(J) PLC","Consumer Staples","Equity","1,616,955.95","0.30","1,616,955.95","445,443.00","3.63","United Kingdom","London Stock Exchange","GBP"
"RBI","RAIFFEISEN BANK INTERNATIONAL AG","Financials","Equity","1,580,874.96","0.29","1,580,874.96","34,532.00","45.78","Austria","Wiener Boerse Ag","EUR"
"ALO","ALSTOM SA","Industrials","Equity","1,574,149.32","0.29","1,574,149.32","90,965.00","17.31","France","Nyse Euronext - Euronext Paris","EUR"
"LIFCO B","LIFCO CLASS B","Industrials","Equity","1,572,422.40","0.29","1,572,422.40","61,205.00","25.69","Sweden","Nasdaq Omx Nordic","SEK"
"ELI","ELIA GROUP SA","Utilities","Equity","1,567,525.80","0.29","1,567,525.80","11,509.00","136.20","Belgium","Nyse Euronext - Euronext Brussels","EUR"
"NIBE B","NIBE INDUSTRIER CLASS B","Industrials","Equity","1,546,074.27","0.28","1,546,074.27","392,744.00","3.94","Sweden","Nasdaq Omx Nordic","SEK"
"ELISA","ELISA","Communication","Equity","1,518,831.10","0.28","1,518,831.10","37,465.00","40.54","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"QIA","QIAGEN NV","Health Care","Equity","1,518,238.11","0.28","1,518,238.11","54,001.00","28.11","Germany","Deutsche Boerse Xetra","EUR"
"REC","RECORDATI INDUSTRIA CHIMICA E FARM","Health Care","Equity","1,511,150.00","0.28","1,511,150.00","30,223.00","50.00","Italy","Borsa Italiana","EUR"
"SCA B","SVENSKA CELLULOSA B","Materials","Equity","1,497,730.29","0.27","1,497,730.29","159,347.00","9.40","Sweden","Nasdaq Omx Nordic","SEK"
"KESKOB","KESKO CLASS B","Consumer Staples","Equity","1,490,001.20","0.27","1,490,001.20","72,260.00","20.62","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"GET","GETLINK","Industrials","Equity","1,482,266.72","0.27","1,482,266.72","80,036.00","18.52","France","Nyse Euronext - Euronext Paris","EUR"
"KGF","KINGFISHER PLC","Consumer Discretionary","Equity","1,481,285.15","0.27","1,481,285.15","443,866.00","3.34","United Kingdom","London Stock Exchange","GBP"
"PNDORA","PANDORA","Consumer Discretionary","Equity","1,475,237.06","0.27","1,475,237.06","20,476.00","72.05","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"AM","DASSAULT AVIATION SA","Industrials","Equity","1,473,200.00","0.27","1,473,200.00","5,080.00","290.00","France","Nyse Euronext - Euronext Paris","EUR"
"SRT3","SARTORIUS PREF AG","Health Care","Equity","1,472,534.10","0.27","1,472,534.10","6,789.00","216.90","Germany","Xetra","EUR"
"STERV","STORA ENSO CLASS R","Materials","Equity","1,469,849.71","0.27","1,469,849.71","153,269.00","9.59","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"RNO","RENAULT SA","Consumer Discretionary","Equity","1,424,737.60","0.26","1,424,737.60","49,816.00","28.60","France","Nyse Euronext - Euronext Paris","EUR"
"JMT","JERONIMO MARTINS SA","Consumer Staples","Equity","1,393,629.12","0.26","1,393,629.12","74,446.00","18.72","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"AMUN","AMUNDI SA","Financials","Equity","1,384,140.60","0.25","1,384,140.60","16,361.00","84.60","France","Nyse Euronext - Euronext Paris","EUR"
